customer_id,name,email,phone,plan_type,base_cost,region
CUST_0069,Steven Ford,shelby68@example.net,933-616-2978x34023,Premium,49.99,Zone C
CUST_0070,Sydney Ortiz,mullensarah@example.org,001-864-743-5691x52844,Standard,49.99,Zone C
CUST_0071,Heidi Fowler,darrylbooker@example.net,001-703-514-6336x01723,Basic,29.99,Zone B
CUST_0072,Christina Woods,tanner92@example.org,279.712.9337x065,Premium,79.99,Zone C
CUST_0073,Nicole Porter,xnovak@example.org,3119686562,Basic,79.99,Zone A
CUST_0074,Alan Pratt,walkerbrian@example.org,(309)948-6247x61090,Standard,79.99,Zone C
CUST_0075,Justin Clayton,tony63@example.com,(899)933-6562,Standard,79.99,Zone B
CUST_0076,Gary Diaz,markoliver@example.net,213.225.9269,Basic,49.99,Zone B
CUST_0077,Philip Mccoy,haysnicole@example.org,430-781-6284,Standard,49.99,Zone A
CUST_0078,Michelle Johnson,uallen@example.com,001-940-496-9492x050,Standard,79.99,Zone A
CUST_0079,Andrea Hernandez,derrickforbes@example.net,701-299-3549,Standard,29.99,Zone A
CUST_0080,Troy Clay,taylorjennifer@example.net,(636)202-6766,Standard,49.99,Zone B
CUST_0081,Haley Turner,robersonsarah@example.net,001-540-301-1118x5613,Standard,29.99,Zone B
CUST_0082,Audrey Rivera,xprice@example.org,490.582.0310x823,Standard,49.99,Zone C
CUST_0083,Kevin Jones,simsedward@example.net,791-560-3992,Standard,29.99,Zone C
CUST_0084,Jill Smith,martinhill@example.com,001-927-471-4362x93588,Standard,29.99,Zone C
CUST_0085,Kyle Hansen,pfigueroa@example.org,(367)929-0058,Premium,79.99,Zone A
CUST_0086,Krystal Landry,hansenbrian@example.net,392-465-9559,Premium,79.99,Zone C
CUST_0087,Michael Butler,dianemartinez@example.net,6478903701,Standard,79.99,Zone B
CUST_0088,Daniel Wilson,psimon@example.com,+1-610-251-7555x4736,Basic,49.99,Zone A
CUST_0089,Michelle Beltran,sullivanscott@example.com,230.367.4716,Standard,29.99,Zone C
CUST_0090,Vincent Carter,johnsonlisa@example.org,380-530-7707x950,Premium,79.99,Zone B
CUST_0091,Andrew Robinson,betty19@example.net,+1-903-454-7521x987,Basic,79.99,Zone A
CUST_0092,Reginald Franklin,reginald21@example.net,278-977-4191,Basic,49.99,Zone A
CUST_0093,Belinda Hernandez,trujillojames@example.net,896.677.1588x707,Basic,49.99,Zone C
CUST_0094,Michael Fisher,lopezsabrina@example.net,426-333-2441x8492,Premium,29.99,Zone C
CUST_0095,Donald Thomas,williamjefferson@example.com,474-635-3097,Basic,49.99,Zone A
CUST_0096,Mr. Brett Vincent,tsmith@example.net,723.861.7781x463,Premium,29.99,Zone A
CUST_0097,Natalie Stewart,kimberlyjohnson@example.com,(416)730-0936,Standard,49.99,Zone C
CUST_0098,Jennifer Nixon,tyler51@example.com,508-460-7541x8941,Premium,79.99,Zone B
CUST_0099,Scott Moore,asantana@example.net,562-446-0411x2112,Standard,49.99,Zone B
CUST_0100,Jennifer Estrada,andersondanielle@example.org,7259011259,Standard,29.99,Zone A
